source,file,split
BUSI,normal (10).png,train
BUSI,normal (100).png,train
BUSI,normal (101).png,test
BUSI,normal (102).png,train
BUSI,normal (103).png,test
BUSI,normal (104).png,val
BUSI,normal (105).png,train
BUSI,normal (106).png,test
BUSI,normal (107).png,val
BUSI,normal (108).png,train
BUSI,normal (109).png,train
BUSI,normal (11).png,train
BUSI,normal (110).png,train
BUSI,normal (111).png,train
BUSI,normal (112).png,val
BUSI,normal (113).png,test
BUSI,normal (114).png,val
BUSI,normal (115).png,train
BUSI,normal (116).png,train
BUSI,normal (117).png,train
BUSI,normal (118).png,train
BUSI,normal (119).png,train
BUSI,normal (12).png,test
BUSI,normal (120).png,val
BUSI,normal (121).png,train
BUSI,normal (122).png,train
BUSI,normal (123).png,train
BUSI,normal (124).png,val
BUSI,normal (125).png,train
BUSI,normal (126).png,train
BUSI,normal (127).png,train
BUSI,normal (128).png,train
BUSI,normal (129).png,train
BUSI,normal (13).png,test
BUSI,normal (130).png,test
BUSI,normal (131).png,val
BUSI,normal (132).png,train
BUSI,normal (133).png,test
BUSI,normal (14).png,train
BUSI,normal (15).png,train
BUSI,normal (16).png,train
BUSI,normal (17).png,train
BUSI,normal (18).png,test
BUSI,normal (19).png,train
BUSI,normal (2).png,train
BUSI,normal (20).png,train
BUSI,normal (21).png,val
BUSI,normal (22).png,train
BUSI,normal (23).png,train
BUSI,normal (24).png,train
BUSI,normal (25).png,train
BUSI,normal (26).png,test
BUSI,normal (27).png,val
BUSI,normal (28).png,train
BUSI,normal (29).png,train
BUSI,normal (3).png,train
BUSI,normal (30).png,train
BUSI,normal (31).png,train
BUSI,normal (32).png,train
BUSI,normal (33).png,train
BUSI,normal (35).png,train
BUSI,normal (36).png,train
BUSI,normal (37).png,test
BUSI,normal (38).png,val
BUSI,normal (39).png,train
BUSI,normal (4).png,train
BUSI,normal (40).png,val
BUSI,normal (41).png,train
BUSI,normal (42).png,train
BUSI,normal (43).png,train
BUSI,normal (44).png,train
BUSI,normal (45).png,train
BUSI,normal (46).png,val
BUSI,normal (47).png,train
BUSI,normal (48).png,train
BUSI,normal (49).png,train
BUSI,normal (5).png,test
BUSI,normal (50).png,test
BUSI,normal (51).png,train
BUSI,normal (52).png,train
BUSI,normal (53).png,train
BUSI,normal (54).png,train
BUSI,normal (55).png,train
BUSI,normal (56).png,val
BUSI,normal (57).png,train
BUSI,normal (58).png,train
BUSI,normal (59).png,test
BUSI,normal (6).png,train
BUSI,normal (60).png,train
BUSI,normal (61).png,train
BUSI,normal (62).png,train
BUSI,normal (63).png,train
BUSI,normal (64).png,train
BUSI,normal (65).png,train
BUSI,normal (66).png,train
BUSI,normal (67).png,train
BUSI,normal (68).png,test
BUSI,normal (69).png,train
BUSI,normal (7).png,val
BUSI,normal (70).png,train
BUSI,normal (71).png,train
BUSI,normal (72).png,train
BUSI,normal (73).png,test
BUSI,normal (74).png,train
BUSI,normal (75).png,train
BUSI,normal (76).png,val
BUSI,normal (77).png,train
BUSI,normal (78).png,train
BUSI,normal (79).png,train
BUSI,normal (8).png,train
BUSI,normal (80).png,train
BUSI,normal (81).png,test
BUSI,normal (82).png,train
BUSI,normal (83).png,train
BUSI,normal (84).png,train
BUSI,normal (85).png,val
BUSI,normal (86).png,test
BUSI,normal (87).png,train
BUSI,normal (88).png,train
BUSI,normal (89).png,train
BUSI,normal (9).png,test
BUSI,normal (90).png,train
BUSI,normal (91).png,val
BUSI,normal (92).png,val
BUSI,normal (93).png,train
BUSI,normal (94).png,train
BUSI,normal (95).png,train
BUSI,normal (96).png,train
BUSI,normal (97).png,test
BUSI,normal (98).png,test
BUSI,normal (99).png,val
BUSI,benign (1).png,train
BUSI,benign (10).png,train
