file,source,label,group,split
normal (10).png,BUSI,normal,1,train
normal (100).png,BUSI,normal,2,train
normal (101).png,BUSI,normal,3,test
normal (102).png,BUSI,normal,4,train
normal (103).png,BUSI,normal,5,test
normal (104).png,BUSI,normal,6,val
normal (105).png,BUSI,normal,7,train
normal (106).png,BUSI,normal,8,test
normal (107).png,BUSI,normal,9,val
normal (108).png,BUSI,normal,10,train
normal (109).png,BUSI,normal,11,train
normal (11).png,BUSI,normal,12,train
normal (110).png,BUSI,normal,13,train
normal (111).png,BUSI,normal,14,train
normal (112).png,BUSI,normal,15,val
normal (113).png,BUSI,normal,16,test
normal (114).png,BUSI,normal,17,val
normal (115).png,BUSI,normal,18,train
normal (116).png,BUSI,normal,19,train
normal (117).png,BUSI,normal,20,train
normal (118).png,BUSI,normal,21,train
normal (119).png,BUSI,normal,22,train
normal (12).png,BUSI,normal,23,test
normal (120).png,BUSI,normal,24,val
normal (121).png,BUSI,normal,25,train
normal (122).png,BUSI,normal,26,train
normal (123).png,BUSI,normal,27,train
normal (124).png,BUSI,normal,53,val
normal (125).png,BUSI,normal,48,train
normal (126).png,BUSI,normal,54,train
normal (127).png,BUSI,normal,31,train
normal (128).png,BUSI,normal,32,train
normal (129).png,BUSI,normal,62,train
normal (13).png,BUSI,normal,78,test
normal (130).png,BUSI,normal,52,test
normal (131).png,BUSI,normal,36,val
normal (132).png,BUSI,normal,37,train
normal (133).png,BUSI,normal,38,test
normal (14).png,BUSI,normal,39,train
normal (15).png,BUSI,normal,40,train
normal (16).png,BUSI,normal,41,train
normal (17).png,BUSI,normal,42,train
normal (18).png,BUSI,normal,43,test
normal (19).png,BUSI,normal,44,train
normal (2).png,BUSI,normal,45,train
normal (20).png,BUSI,normal,46,train
normal (21).png,BUSI,normal,47,val
normal (22).png,BUSI,normal,48,train
normal (23).png,BUSI,normal,49,train
normal (24).png,BUSI,normal,50,train
normal (25).png,BUSI,normal,51,train
normal (26).png,BUSI,normal,52,test
normal (27).png,BUSI,normal,53,val
normal (28).png,BUSI,normal,54,train
normal (29).png,BUSI,normal,55,train
normal (3).png,BUSI,normal,56,train
normal (30).png,BUSI,normal,57,train
normal (31).png,BUSI,normal,58,train
normal (32).png,BUSI,normal,59,train
normal (33).png,BUSI,normal,60,train
normal (35).png,BUSI,normal,62,train
normal (36).png,BUSI,normal,63,train
normal (37).png,BUSI,normal,64,test
normal (38).png,BUSI,normal,65,val
normal (39).png,BUSI,normal,66,train
normal (4).png,BUSI,normal,67,train
normal (40).png,BUSI,normal,74,val
normal (41).png,BUSI,normal,91,train
normal (42).png,BUSI,normal,77,train
normal (43).png,BUSI,normal,71,train
normal (44).png,BUSI,normal,91,train
normal (45).png,BUSI,normal,77,train
normal (46).png,BUSI,normal,74,val
normal (47).png,BUSI,normal,91,train
normal (48).png,BUSI,normal,76,train
normal (49).png,BUSI,normal,77,train
normal (5).png,BUSI,normal,78,test
normal (50).png,BUSI,normal,79,test
normal (51).png,BUSI,normal,83,train
normal (52).png,BUSI,normal,81,train
normal (53).png,BUSI,normal,82,train
normal (54).png,BUSI,normal,83,train
normal (55).png,BUSI,normal,84,train
normal (56).png,BUSI,normal,85,val
normal (57).png,BUSI,normal,86,train
normal (58).png,BUSI,normal,99,train
normal (59).png,BUSI,normal,88,test
normal (6).png,BUSI,normal,89,train
normal (60).png,BUSI,normal,99,train
normal (61).png,BUSI,normal,91,train
normal (62).png,BUSI,normal,77,train
normal (63).png,BUSI,normal,93,train
normal (64).png,BUSI,normal,94,train
normal (65).png,BUSI,normal,95,train
normal (66).png,BUSI,normal,96,train
normal (67).png,BUSI,normal,97,train
normal (68).png,BUSI,normal,98,test
normal (69).png,BUSI,normal,99,train
normal (7).png,BUSI,normal,100,val
normal (70).png,BUSI,normal,101,train
normal (71).png,BUSI,normal,102,train
normal (72).png,BUSI,normal,103,train
normal (73).png,BUSI,normal,104,test
normal (74).png,BUSI,normal,105,train
normal (75).png,BUSI,normal,106,train
normal (76).png,BUSI,normal,107,val
normal (77).png,BUSI,normal,108,train
normal (78).png,BUSI,normal,109,train
normal (79).png,BUSI,normal,110,train
normal (8).png,BUSI,normal,111,train
normal (80).png,BUSI,normal,112,train
normal (81).png,BUSI,normal,113,test
normal (82).png,BUSI,normal,114,train
normal (83).png,BUSI,normal,115,train
normal (84).png,BUSI,normal,116,train
normal (85).png,BUSI,normal,117,val
normal (86).png,BUSI,normal,118,test
normal (87).png,BUSI,normal,119,train
normal (88).png,BUSI,normal,120,train
normal (89).png,BUSI,normal,121,train
normal (9).png,BUSI,normal,122,test
normal (90).png,BUSI,normal,123,train
normal (91).png,BUSI,normal,124,val
normal (92).png,BUSI,normal,125,val
normal (93).png,BUSI,normal,126,train
normal (94).png,BUSI,normal,127,train
normal (95).png,BUSI,normal,128,train
normal (96).png,BUSI,normal,129,train
normal (97).png,BUSI,normal,131,test
normal (98).png,BUSI,normal,131,test
normal (99).png,BUSI,normal,132,val
benign (1).png,BUSI,benign,133,train
benign (10).png,BUSI,benign,386,train
benign (100).png,BUSI,benign,135,train
benign (101).png,BUSI,benign,136,train
benign (102).png,BUSI,benign,137,train
benign (103).png,BUSI,benign,138,train
benign (104).png,BUSI,benign,139,train
benign (105).png,BUSI,benign,196,train
benign (106).png,BUSI,benign,141,test
benign (107).png,BUSI,benign,142,train
benign (108).png,BUSI,benign,143,test
benign (109).png,BUSI,benign,144,train
benign (11).png,BUSI,benign,145,train
benign (110).png,BUSI,benign,146,val
benign (111).png,BUSI,benign,147,train
benign (112).png,BUSI,benign,148,train
benign (113).png,BUSI,benign,149,train
benign (114).png,BUSI,benign,150,train
benign (115).png,BUSI,benign,151,test
benign (116).png,BUSI,benign,152,val
benign (117).png,BUSI,benign,153,train
benign (118).png,BUSI,benign,154,train
benign (119).png,BUSI,benign,155,train
benign (12).png,BUSI,benign,156,val
benign (120).png,BUSI,benign,157,train
benign (121).png,BUSI,benign,158,test
benign (122).png,BUSI,benign,159,train
benign (123).png,BUSI,benign,160,train
benign (124).png,BUSI,benign,161,val
benign (125).png,BUSI,benign,162,train
benign (126).png,BUSI,benign,163,train
benign (127).png,BUSI,benign,164,train
benign (128).png,BUSI,benign,165,train
benign (129).png,BUSI,benign,166,train
benign (13).png,BUSI,benign,390,train
benign (130).png,BUSI,benign,168,test
benign (132).png,BUSI,benign,170,val
benign (133).png,BUSI,benign,171,train
benign (134).png,BUSI,benign,172,train
benign (135).png,BUSI,benign,173,train
benign (136).png,BUSI,benign,174,train
benign (137).png,BUSI,benign,175,train
benign (138).png,BUSI,benign,527,val
benign (139).png,BUSI,benign,532,train
benign (14).png,BUSI,benign,178,train
benign (140).png,BUSI,benign,179,test
benign (141).png,BUSI,benign,180,train
benign (142).png,BUSI,benign,181,train
benign (143).png,BUSI,benign,182,val
benign (144).png,BUSI,benign,183,train
benign (145).png,BUSI,benign,184,train
benign (146).png,BUSI,benign,185,train
benign (147).png,BUSI,benign,186,train
benign (148).png,BUSI,benign,187,train
benign (149).png,BUSI,benign,188,val
benign (15).png,BUSI,benign,392,val
benign (150).png,BUSI,benign,190,train
benign (151).png,BUSI,benign,191,train
benign (152).png,BUSI,benign,222,train
benign (153).png,BUSI,benign,300,val
benign (154).png,BUSI,benign,194,test
benign (155).png,BUSI,benign,195,train
benign (156).png,BUSI,benign,196,train
benign (157).png,BUSI,benign,532,train
benign (158).png,BUSI,benign,198,train
benign (159).png,BUSI,benign,199,train
benign (16).png,BUSI,benign,200,test
benign (160).png,BUSI,benign,201,train
benign (161).png,BUSI,benign,202,val
benign (162).png,BUSI,benign,203,train
benign (163).png,BUSI,benign,555,train
benign (165).png,BUSI,benign,206,train
benign (166).png,BUSI,benign,207,train
benign (167).png,BUSI,benign,208,train
benign (168).png,BUSI,benign,209,train
benign (169).png,BUSI,benign,210,test
benign (17).png,BUSI,benign,211,train
benign (170).png,BUSI,benign,212,val
benign (171).png,BUSI,benign,213,train
benign (172).png,BUSI,benign,214,test
benign (173).png,BUSI,benign,215,val
benign (174).png,BUSI,benign,216,train
benign (175).png,BUSI,benign,217,train
benign (176).png,BUSI,benign,218,train
benign (177).png,BUSI,benign,411,test
benign (178).png,BUSI,benign,220,train
benign (179).png,BUSI,benign,221,val
benign (18).png,BUSI,benign,222,train
benign (180).png,BUSI,benign,223,train
benign (181).png,BUSI,benign,224,test
benign (182).png,BUSI,benign,225,train
benign (183).png,BUSI,benign,226,train
benign (184).png,BUSI,benign,227,train
benign (185).png,BUSI,benign,228,train
benign (186).png,BUSI,benign,229,train
benign (187).png,BUSI,benign,230,train
benign (188).png,BUSI,benign,231,train
benign (189).png,BUSI,benign,232,train
benign (19).png,BUSI,benign,233,train
benign (190).png,BUSI,benign,234,train
benign (191).png,BUSI,benign,235,test
benign (192).png,BUSI,benign,236,val
benign (193).png,BUSI,benign,237,test
benign (194).png,BUSI,benign,238,train
benign (195).png,BUSI,benign,239,train
benign (196).png,BUSI,benign,240,train
benign (197).png,BUSI,benign,241,train
benign (198).png,BUSI,benign,242,train
benign (199).png,BUSI,benign,243,test
benign (2).png,BUSI,benign,244,train
benign (20).png,BUSI,benign,245,val
benign (200).png,BUSI,benign,246,train
benign (201).png,BUSI,benign,247,train
benign (202).png,BUSI,benign,358,train
benign (203).png,BUSI,benign,343,train
benign (204).png,BUSI,benign,336,train
benign (205).png,BUSI,benign,251,test
benign (206).png,BUSI,benign,252,train
benign (207).png,BUSI,benign,253,val
benign (208).png,BUSI,benign,254,train
benign (209).png,BUSI,benign,255,train
benign (21).png,BUSI,benign,256,train
benign (210).png,BUSI,benign,353,test
benign (211).png,BUSI,benign,258,val
benign (212).png,BUSI,benign,259,train
benign (213).png,BUSI,benign,260,train
benign (214).png,BUSI,benign,335,train
benign (215).png,BUSI,benign,323,train
benign (216).png,BUSI,benign,317,train
benign (217).png,BUSI,benign,320,val
benign (218).png,BUSI,benign,351,train
benign (219).png,BUSI,benign,266,test
benign (22).png,BUSI,benign,267,train
benign (220).png,BUSI,benign,324,train
benign (221).png,BUSI,benign,269,train
benign (222).png,BUSI,benign,270,val
benign (223).png,BUSI,benign,271,train
benign (224).png,BUSI,benign,272,train
benign (225).png,BUSI,benign,348,train
benign (226).png,BUSI,benign,331,val
benign (227).png,BUSI,benign,301,train
benign (228).png,BUSI,benign,363,train
benign (229).png,BUSI,benign,277,train
benign (23).png,BUSI,benign,278,train
benign (230).png,BUSI,benign,279,test
benign (231).png,BUSI,benign,350,train
benign (232).png,BUSI,benign,341,val
benign (233).png,BUSI,benign,354,val
benign (234).png,BUSI,benign,313,train
benign (235).png,BUSI,benign,349,train
benign (236).png,BUSI,benign,285,train
benign (237).png,BUSI,benign,286,val
benign (238).png,BUSI,benign,357,train
benign (239).png,BUSI,benign,288,train
benign (24).png,BUSI,benign,289,test
benign (240).png,BUSI,benign,330,test
benign (241).png,BUSI,benign,291,train
benign (242).png,BUSI,benign,342,train
benign (243).png,BUSI,benign,293,train
benign (244).png,BUSI,benign,294,train
benign (245).png,BUSI,benign,295,train
benign (246).png,BUSI,benign,296,train
benign (247).png,BUSI,benign,297,train
benign (248).png,BUSI,benign,298,train
benign (249).png,BUSI,benign,336,train
benign (25).png,BUSI,benign,300,val
benign (250).png,BUSI,benign,301,train
benign (251).png,BUSI,benign,302,train
benign (252).png,BUSI,benign,303,train
benign (253).png,BUSI,benign,304,train
benign (254).png,BUSI,benign,305,train
benign (255).png,BUSI,benign,330,test
benign (256).png,BUSI,benign,307,test
benign (257).png,BUSI,benign,308,val
benign (258).png,BUSI,benign,309,train
benign (259).png,BUSI,benign,334,train
benign (26).png,BUSI,benign,311,train
benign (260).png,BUSI,benign,312,train
benign (261).png,BUSI,benign,313,train
benign (262).png,BUSI,benign,314,train
benign (263).png,BUSI,benign,331,val
benign (264).png,BUSI,benign,316,train
benign (265).png,BUSI,benign,317,train
benign (266).png,BUSI,benign,332,train
benign (267).png,BUSI,benign,319,test
benign (268).png,BUSI,benign,320,val
benign (27).png,BUSI,benign,322,train
benign (270).png,BUSI,benign,323,train
benign (271).png,BUSI,benign,324,train
benign (272).png,BUSI,benign,325,train
benign (273).png,BUSI,benign,343,train
benign (274).png,BUSI,benign,345,test
benign (275).png,BUSI,benign,352,train
benign (276).png,BUSI,benign,341,val
benign (277).png,BUSI,benign,330,test
benign (278).png,BUSI,benign,331,val
benign (279).png,BUSI,benign,332,train
benign (28).png,BUSI,benign,333,train
benign (280).png,BUSI,benign,334,train
benign (281).png,BUSI,benign,335,train
benign (282).png,BUSI,benign,336,train
benign (283).png,BUSI,benign,337,train
benign (284).png,BUSI,benign,339,test
benign (285).png,BUSI,benign,339,test
benign (286).png,BUSI,benign,340,train
benign (287).png,BUSI,benign,341,val
benign (288).png,BUSI,benign,342,train
benign (289).png,BUSI,benign,343,train
benign (29).png,BUSI,benign,344,train
benign (290).png,BUSI,benign,345,test
benign (291).png,BUSI,benign,346,val
benign (292).png,BUSI,benign,348,train
benign (293).png,BUSI,benign,348,train
benign (294).png,BUSI,benign,349,train
benign (295).png,BUSI,benign,350,train
benign (296).png,BUSI,benign,351,train
benign (297).png,BUSI,benign,352,train
benign (298).png,BUSI,benign,353,test
benign (299).png,BUSI,benign,354,val
benign (3).png,BUSI,benign,379,test
benign (30).png,BUSI,benign,356,train
benign (300).png,BUSI,benign,357,train
benign (301).png,BUSI,benign,358,train
benign (302).png,BUSI,benign,359,val
benign (303).png,BUSI,benign,360,train
benign (304).png,BUSI,benign,361,train
benign (305).png,BUSI,benign,362,train
benign (306).png,BUSI,benign,363,train
benign (307).png,BUSI,benign,488,train
benign (308).png,BUSI,benign,365,train
benign (309).png,BUSI,benign,492,train
benign (31).png,BUSI,benign,367,train
benign (310).png,BUSI,benign,368,test
benign (311).png,BUSI,benign,369,train
benign (312).png,BUSI,benign,491,val
benign (313).png,BUSI,benign,371,train
benign (314).png,BUSI,benign,372,train
benign (315).png,BUSI,benign,373,test
benign (316).png,BUSI,benign,496,test
benign (317).png,BUSI,benign,375,val
benign (318).png,BUSI,benign,376,train
benign (319).png,BUSI,benign,377,train
benign (32).png,BUSI,benign,378,test
benign (320).png,BUSI,benign,379,test
benign (321).png,BUSI,benign,466,train
benign (322).png,BUSI,benign,515,train
benign (323).png,BUSI,benign,382,train
benign (324).png,BUSI,benign,537,train
benign (325).png,BUSI,benign,384,train
benign (326).png,BUSI,benign,559,train
benign (327).png,BUSI,benign,386,train
benign (328).png,BUSI,benign,387,val
benign (329).png,BUSI,benign,388,train
benign (33).png,BUSI,benign,389,test
benign (330).png,BUSI,benign,390,train
benign (331).png,BUSI,benign,391,train
benign (332).png,BUSI,benign,392,val
benign (333).png,BUSI,benign,393,train
benign (334).png,BUSI,benign,394,train
benign (335).png,BUSI,benign,395,test
benign (336).png,BUSI,benign,396,val
benign (337).png,BUSI,benign,397,train
benign (338).png,BUSI,benign,398,train
benign (339).png,BUSI,benign,399,train
benign (34).png,BUSI,benign,400,train
benign (340).png,BUSI,benign,401,train
benign (341).png,BUSI,benign,402,test
benign (342).png,BUSI,benign,403,val
benign (343).png,BUSI,benign,404,train
benign (344).png,BUSI,benign,405,train
benign (345).png,BUSI,benign,406,val
benign (346).png,BUSI,benign,407,train
benign (347).png,BUSI,benign,408,train
benign (348).png,BUSI,benign,409,train
benign (349).png,BUSI,benign,410,train
benign (35).png,BUSI,benign,411,test
benign (350).png,BUSI,benign,412,train
benign (351).png,BUSI,benign,413,train
benign (352).png,BUSI,benign,414,train
benign (353).png,BUSI,benign,415,val
benign (354).png,BUSI,benign,416,train
benign (355).png,BUSI,benign,417,test
benign (356).png,BUSI,benign,418,train
benign (357).png,BUSI,benign,419,val
benign (358).png,BUSI,benign,420,train
benign (359).png,BUSI,benign,421,train
benign (36).png,BUSI,benign,422,train
benign (360).png,BUSI,benign,423,train
benign (361).png,BUSI,benign,424,train
benign (362).png,BUSI,benign,425,test
benign (363).png,BUSI,benign,426,train
benign (364).png,BUSI,benign,427,val
benign (365).png,BUSI,benign,428,train
benign (366).png,BUSI,benign,429,train
benign (367).png,BUSI,benign,430,train
benign (368).png,BUSI,benign,431,train
benign (369).png,BUSI,benign,432,train
benign (37).png,BUSI,benign,433,train
